category_id,category_title,challenge_id,challenge_title,challenge_points
1,SQL Injection,1,Most basic SQLi pattern.,1
1,SQL Injection,2,ACL rulezzz the world.,2
1,SQL Injection,3,Login portal 1,2
1,SQL Injection,171,Random Login Form,2
1,SQL Injection,21,Po po po po postgresql,2
1,SQL Injection,4,Login portal 2,3
1,SQL Injection,189,0 Day Store,3
1,SQL Injection,52,Don't mess with Noemie; she hates admin!,3
1,SQL Injection,40,What's the definition of NULL,3
1,SQL Injection,37,Quote of the day,4
1,SQL Injection,74,No more hacking for me!,4
1,SQL Injection,39,Thinking outside the box is the key,4
1,SQL Injection,291,Don't Stumble in the Process,4
1,SQL Injection,305,Brain Teaser 1,4
1,SQL Injection,38,Quote of the day reloaded,5
1,SQL Injection,19,When it's lite it's not necessarily easy,6
1,SQL Injection,5,Login portal 3,6
1,SQL Injection,158,Hot Single Mom,6
1,SQL Injection,306,Brain Teaser 2,7
1,SQL Injection,242,Internet As A Service,7
1,SQL Injection,78,Size DOES matter,7
1,SQL Injection,77,/etc/passwd,7
1,SQL Injection,62,Groups of hacker,7
1,SQL Injection,6,Login portal 4,7
1,SQL Injection,123,The useless search tool,8
1,SQL Injection,7,Login portal 5,8
1,SQL Injection,271,stackoverflow.com lied to me... again,9
1,SQL Injection,304,Doctor Who ?,9
1,SQL Injection,8,Login portal 6,10
1,SQL Injection,273,SQHell,11
1,SQL Injection,292,Don't Stumble in the Process Reloaded,12
1,SQL Injection,60,!Mysql + Brain fart,13
2,Reverse Engineering,11,Time to learn x86 ASM & gdb,2
2,Reverse Engineering,311,See No Evil - Part 1,2
2,Reverse Engineering,110,Can you see through the star,2
2,Reverse Engineering,346,Gift as a Service Part 2,2
2,Reverse Engineering,312,See No Evil - Part 2,3
2,Reverse Engineering,313,See No Evil - Part 3,3
2,Reverse Engineering,270,Intro To Sparc,3
2,Reverse Engineering,72,Kernel introduction,3
2,Reverse Engineering,176,Heap allocator,3
2,Reverse Engineering,9,Crack Me 1,3
2,Reverse Engineering,53,Introduction to MIPS,3
2,Reverse Engineering,36,I never forget the Nintendo 64,3
2,Reverse Engineering,28,Windows x86 reversing is cool,3
2,Reverse Engineering,266,Old School,4
2,Reverse Engineering,175,Power to the people,4
2,Reverse Engineering,161,Let's take a detour,4
2,Reverse Engineering,238,Altera?,4
2,Reverse Engineering,237,ASM Lovers,4
2,Reverse Engineering,111,Wrong byte!,4
2,Reverse Engineering,314,See No Evil - Part 4,4
2,Reverse Engineering,315,See No Evil - Part 5,4
2,Reverse Engineering,320,I love tea!,4
2,Reverse Engineering,335,Space Invaders,4
2,Reverse Engineering,54,Introduction to ARM,4
2,Reverse Engineering,33,Windows API for the win,4
2,Reverse Engineering,278,WASM Part 1,5
2,Reverse Engineering,276,The MI7 password prompt,5
2,Reverse Engineering,248,Phenix Golgoth,5
2,Reverse Engineering,246,Can I speak with the kernel?,5
2,Reverse Engineering,347,Reindeer Game,5
2,Reverse Engineering,64,Back to our roots,5
2,Reverse Engineering,190,Virtual World,5
2,Reverse Engineering,178,Smart enough?,5
2,Reverse Engineering,170,Pwndr3 Authenticator,5
2,Reverse Engineering,141,RingZer0 Authenticator,5
2,Reverse Engineering,68,Need a client,6
2,Reverse Engineering,108,I Think I forgot to take out the garbage!,6
2,Reverse Engineering,144,Flag stealer,6
2,Reverse Engineering,145,Update Manager,6
2,Reverse Engineering,179,Buggy Bunny,7
2,Reverse Engineering,330,Cappin',7
2,Reverse Engineering,264,The supreme bash,7
2,Reverse Engineering,177,Armed and ready,7
2,Reverse Engineering,101,SOS Lib,7
2,Reverse Engineering,210,You're not welcome,8
2,Reverse Engineering,279,WASM Part 2,8
2,Reverse Engineering,174,License to kill,8
2,Reverse Engineering,236,Rebate As A Service,8
2,Reverse Engineering,302,The Matrix,9
2,Reverse Engineering,157,Keygen time again,10
2,Reverse Engineering,61,Trolling the troll,10
2,Reverse Engineering,107,The unknown challenge,11
2,Reverse Engineering,280,WASM Part 3,12
2,Reverse Engineering,239,You're not welcome again!,12
2,Reverse Engineering,249,The oracle,13
2,Reverse Engineering,277,Mars Reloaded,18
3,Steganography,70,Victor you're hidding me something,1
3,Steganography,118,You're lost? Use the map,1
3,Steganography,18,Look inside the house,2
3,Steganography,22,A ghost sound,2
3,Steganography,71,Victor reloaded,2
3,Steganography,265,The Sloth,2
3,Steganography,122,Brainsick,2
3,Steganography,129,Missing Pieces,2
3,Steganography,188,Hidden In Plain Sight,2
3,Steganography,194,Pixel Everywhere,2
3,Steganography,244,The vestige of dial-up Internet,2
3,Steganography,231,I'm Goronyo Babad Nigerian prince,2
3,Steganography,208,5 beautiful colors,3
3,Steganography,296,Crazy Cat Lady,3
3,Steganography,215,Love Letter,3
3,Steganography,10,Can you see through the matrix!,3
3,Steganography,106,Your old friend Orloge Simard,3
3,Steganography,245,Can you see through the matrix reloaded!,4
3,Steganography,268,Stay Classy!,4
3,Steganography,293,Not just 64,4
3,Steganography,316,Even the Odds,4
3,Steganography,69,Walk the line!,5
3,Steganography,299,Stop the violence,5
3,Steganography,323,Stop the violence 2,5
3,Steganography,349,Hidden out of sight,5
4,Forensics,20,I made a dd of Agent Smith usb key,1
4,Forensics,243,Who I am part 2,1
4,Forensics,140,Meat Loaf,2
4,Forensics,160,Who I am?,2
4,Forensics,103,Dr. Pouce,2
4,Forensics,92,Attention Dinosaure Survive,2
4,Forensics,217,"The good, the bad and the ugly",2
4,Forensics,86,1 / 3 Do not waste the environment,2
4,Forensics,65,Hide my ass in my home!,2
4,Forensics,44,Hey Chuck where is the flag?,2
4,Forensics,252,I love cat,2
4,Forensics,84,The words flew but writing remains,3
4,Forensics,87,2 / 3 Did you see my desktop?,3
4,Forensics,59,Are you Twisted Insane?,3
4,Forensics,112,Someone steal my flag!,3
4,Forensics,192,802.1X Part 1,4
4,Forensics,269,R.I.P MsPaint,4
4,Forensics,88,3 / 3 Suspicious account password?,4
4,Forensics,35,Poor internet connection,4
4,Forensics,24,Agent Smith reloaded,4
4,Forensics,150,Someone steal my flag again,5
4,Forensics,163,We got breached,5
4,Forensics,115,Ping pong,5
4,Forensics,12,Spy my girl,5
4,Forensics,116,Russian Crypto Roulette,6
4,Forensics,164,We got breached again,6
4,Forensics,117,Really Depressed Protocol,7
4,Forensics,193,802.1X Part 2,8
5,Coding Challenges,13,Hash me please,2
5,Coding Challenges,172,Ask your grandpa!,2
5,Coding Challenges,14,Hash me reloaded,3
5,Coding Challenges,32,I hate mathematics,3
5,Coding Challenges,173,Ask your grandpa again!,4
5,Coding Challenges,56,Hash breaker,4
5,Coding Challenges,15,I saw a little elf,4
5,Coding Challenges,57,Hash breaker reloaded,5
5,Coding Challenges,121,Execute me if you can,5
5,Coding Challenges,17,Read me if you can,6
5,Coding Challenges,119,Ascii Art,6
5,Coding Challenges,125,Execute me if you can again,6
5,Coding Challenges,159,Hash breaker reloaded again,6
5,Coding Challenges,16,Xor me if you can,6
5,Coding Challenges,126,Find the right word,7
5,Coding Challenges,130,Number game,7
5,Coding Challenges,143,Classic Sudoku,7
6,Cryptography,25,Some martian message,1
6,Cryptography,274,You're Drunk!,1
6,Cryptography,49,File recovery,1
6,Cryptography,156,Fashion Victim,2
6,Cryptography,63,Martian message part 2,2
6,Cryptography,50,Public key recovery,2
6,Cryptography,51,I Lost my password,3
6,Cryptography,300,Let's Play Scrabble!,3
6,Cryptography,114,Hangovers and more: Bacon ,3
6,Cryptography,26,Martian message part 3,3
6,Cryptography,23,Can you understand this sentence?,3
6,Cryptography,29,Encrypted Zip,4
6,Cryptography,66,Crypto over the network,4
6,Cryptography,154,Crypto Object,4
6,Cryptography,275,Crypto Leak,4
6,Cryptography,336,SSO Service,4
6,Cryptography,55,Is it a secure string?,5
6,Cryptography,301,Let's Play Scrabble! Part 2,5
6,Cryptography,294,Jabber,5
6,Cryptography,261,Free Flag Encrypter,5
6,Cryptography,339,Guess the number,6
6,Cryptography,214,TotalSecure Message Encrypter,6
6,Cryptography,155,Welcome to the asylum,6
6,Cryptography,73,Pattern is the key,6
6,Cryptography,331,Malcolm,7
6,Cryptography,295,Jabber Part 2,7
6,Cryptography,319,Homemade craptography #2,7
6,Cryptography,282,Homemade Craptography,8
6,Cryptography,290,Mars Log,8
6,Cryptography,105,Crypto is not good as you think,8
6,Cryptography,344,Find your path,9
6,Cryptography,247,Rusty RSA message signing service,9
6,Cryptography,233,Spies,9
6,Cryptography,310,Polly Wants a Cracker,10
6,Cryptography,216,TotalSecure Message Encrypter V2,10
6,Cryptography,267,Unicorn As A Service,11
7,JavaScript,27,Client side validation is bad!,1
7,JavaScript,30,Hashing is more secure,1
7,JavaScript,31,Then obfuscation is more secure,1
7,JavaScript,34,Why not?,2
7,JavaScript,58,Valid key required,2
7,JavaScript,67,Most Secure Crypto Algo,2
7,JavaScript,46,Why not be more secure?,5
7,JavaScript,213,WTF Lol!,6
7,JavaScript,281,Interstellar PhoneBook,6
7,JavaScript,211,Beauty and the beast,7
8,Web,42,Words mean something?,1
8,Web,212,Big Brother is watching,1
8,Web,297,Hacking skill are optional,1
8,Web,75,Looking for password file,1
8,Web,48,Area 51,1
8,Web,43,Headache,1
8,Web,45,Security thru obscurity!,2
8,Web,254,PHP Fairy,2
8,Web,93,XSS Challenge 2,2
8,Web,96,XSS Challenge 1,2
8,Web,104,Admin Portal,2
8,Web,113,Password reset,2
8,Web,47,Malicious upload,2
8,Web,138,Captcha I,2
8,Web,142,Unreadable captcha,2
8,Web,120,Password reset reloaded,3
8,Web,240,PHP feature or 0day?,3
8,Web,41,Serial killer!,3
8,Web,307,JWT pitfall 1,3
8,Web,153,REST in peace,3
8,Web,324,Captcha IV,3
8,Web,326,NeuroSoft: Observation Unit Center,3
8,Web,327,Beyond Reality Part 1,3
8,Web,95,XSS Challenge 3,3
8,Web,94,XSS Challenge 4,3
8,Web,85,Facebook will never forget this one,3
8,Web,337,UploadStar,3
8,Web,345,Gift as a Service Part 1,3
8,Web,76,Looking for the flag?,3
8,Web,289,Captcha III,4
8,Web,185,Propaganda mail,4
8,Web,139,Captcha II,4
8,Web,209,Read the unreadable,5
8,Web,187,Freedom Firewall,5
