category_id,category_title,challenge_id,challenge_title,challenge_points,challenge_solves,overarching_category
1,SQL Injection,1,Most basic SQLi pattern.,1,10789,Web
1,SQL Injection,2,ACL rulezzz the world.,2,5323,Web
1,SQL Injection,3,Login portal 1,2,4211,Web
1,SQL Injection,171,Random Login Form,2,2581,Web
1,SQL Injection,21,Po po po po postgresql,2,2632,Web
1,SQL Injection,4,Login portal 2,3,1060,Web
1,SQL Injection,189,0 Day Store,3,169,Web
1,SQL Injection,52,Don't mess with Noemie; she hates admin!,3,1179,Web
1,SQL Injection,40,What's the definition of NULL,3,994,Web
1,SQL Injection,37,Quote of the day,4,796,Web
1,SQL Injection,74,No more hacking for me!,4,467,Web
1,SQL Injection,39,Thinking outside the box is the key,4,672,Web
1,SQL Injection,291,Don't Stumble in the Process,4,72,Web
1,SQL Injection,305,Brain Teaser 1,4,45,Web
1,SQL Injection,38,Quote of the day reloaded,5,346,Web
1,SQL Injection,19,When it's lite it's not necessarily easy,6,309,Web
1,SQL Injection,5,Login portal 3,6,373,Web
1,SQL Injection,158,Hot Single Mom,6,241,Web
1,SQL Injection,306,Brain Teaser 2,7,25,Web
1,SQL Injection,242,Internet As A Service,7,209,Web
1,SQL Injection,78,Size DOES matter,7,152,Web
1,SQL Injection,77,/etc/passwd,7,173,Web
1,SQL Injection,62,Groups of hacker,7,174,Web
1,SQL Injection,6,Login portal 4,7,251,Web
1,SQL Injection,123,The useless search tool,8,131,Web
1,SQL Injection,7,Login portal 5,8,84,Web
1,SQL Injection,271,stackoverflow.com lied to me... again,9,90,Web
1,SQL Injection,304,Doctor Who ?,9,15,Web
1,SQL Injection,8,Login portal 6,10,69,Web
1,SQL Injection,273,SQHell,11,17,Web
1,SQL Injection,292,Don't Stumble in the Process Reloaded,12,12,Web
1,SQL Injection,60,!Mysql + Brain fart,13,36,Web
2,Reverse Engineering,11,Time to learn x86 ASM & gdb,2,2478,Rev
2,Reverse Engineering,311,See No Evil - Part 1,2,233,Rev
2,Reverse Engineering,110,Can you see through the star,2,1433,Rev
2,Reverse Engineering,346,Gift as a Service Part 2,2,60,Rev
2,Reverse Engineering,312,See No Evil - Part 2,3,170,Rev
2,Reverse Engineering,313,See No Evil - Part 3,3,157,Rev
2,Reverse Engineering,270,Intro To Sparc,3,232,Rev
2,Reverse Engineering,72,Kernel introduction,3,297,Rev
2,Reverse Engineering,176,Heap allocator,3,311,Rev
2,Reverse Engineering,9,Crack Me 1,3,842,Rev
2,Reverse Engineering,53,Introduction to MIPS,3,364,Rev
2,Reverse Engineering,36,I never forget the Nintendo 64,3,750,Rev
2,Reverse Engineering,28,Windows x86 reversing is cool,3,820,Rev
2,Reverse Engineering,266,Old School,4,99,Rev
2,Reverse Engineering,175,Power to the people,4,87,Rev
2,Reverse Engineering,161,Let's take a detour,4,108,Rev
2,Reverse Engineering,238,Altera?,4,82,Rev
2,Reverse Engineering,237,ASM Lovers,4,104,Rev
2,Reverse Engineering,111,Wrong byte!,4,300,Rev
2,Reverse Engineering,314,See No Evil - Part 4,4,119,Rev
2,Reverse Engineering,315,See No Evil - Part 5,4,111,Rev
2,Reverse Engineering,320,I love tea!,4,41,Rev
2,Reverse Engineering,335,Space Invaders,4,29,Rev
2,Reverse Engineering,54,Introduction to ARM,4,393,Rev
2,Reverse Engineering,33,Windows API for the win,4,368,Rev
2,Reverse Engineering,278,WASM Part 1,5,91,Rev
2,Reverse Engineering,276,The MI7 password prompt,5,85,Rev
2,Reverse Engineering,248,Phenix Golgoth,5,65,Rev
2,Reverse Engineering,246,Can I speak with the kernel?,5,96,Rev
2,Reverse Engineering,347,Reindeer Game,5,18,Rev
2,Reverse Engineering,64,Back to our roots,5,130,Rev
2,Reverse Engineering,190,Virtual World,5,87,Rev
2,Reverse Engineering,178,Smart enough?,5,134,Rev
2,Reverse Engineering,170,Pwndr3 Authenticator,5,70,Rev
2,Reverse Engineering,141,RingZer0 Authenticator,5,265,Rev
2,Reverse Engineering,68,Need a client,6,81,Rev
2,Reverse Engineering,108,I Think I forgot to take out the garbage!,6,30,Rev
2,Reverse Engineering,144,Flag stealer,6,87,Rev
2,Reverse Engineering,145,Update Manager,6,69,Rev
2,Reverse Engineering,179,Buggy Bunny,7,16,Rev
2,Reverse Engineering,330,Cappin',7,6,Rev
