,id,username,year,overarching_category,num_solved
0,84,acormier,2014,Crypt,4
1,84,acormier,2014,Forensics,8
2,84,acormier,2014,Misc,10
3,84,acormier,2014,Rev,1
4,84,acormier,2014,Web,17
5,84,acormier,2015,Crypt,1
6,84,acormier,2015,Forensics,1
7,84,acormier,2015,Rev,1
8,84,acormier,2015,Web,5
9,84,acormier,2017,Crypt,13
10,84,acormier,2017,Forensics,28
11,84,acormier,2017,Misc,16
12,84,acormier,2017,Pwn,11
13,84,acormier,2017,Rev,15
14,84,acormier,2017,Web,22
15,84,acormier,2018,Crypt,2
16,84,acormier,2018,Forensics,9
17,84,acormier,2018,Pwn,24
18,84,acormier,2018,Rev,8
19,84,acormier,2018,Web,24
20,84,acormier,2019,Crypt,1
21,84,acormier,2019,Forensics,2
22,84,acormier,2019,Pwn,6
23,84,acormier,2019,Rev,8
24,84,acormier,2019,Web,5
25,84,acormier,2020,Crypt,8
26,84,acormier,2020,Forensics,2
27,84,acormier,2020,Pwn,7
28,84,acormier,2020,Rev,4
29,84,acormier,2020,Web,8
30,84,acormier,2021,Pwn,2
31,84,acormier,2021,Rev,1
32,84,acormier,2021,Web,1
33,84,acormier,2022,Special,6
34,84,acormier,2022,Web,2
35,84,acormier,2023,Rev,1
36,84,acormier,2023,Special,21
37,84,acormier,2024,Special,2
38,560,HoLyVieR,2014,Crypt,8
39,560,HoLyVieR,2014,Forensics,15
40,560,HoLyVieR,2014,Misc,17
41,560,HoLyVieR,2014,Pwn,12
42,560,HoLyVieR,2014,Rev,15
43,560,HoLyVieR,2014,Web,52
44,560,HoLyVieR,2015,Crypt,8
45,560,HoLyVieR,2015,Forensics,8
46,560,HoLyVieR,2015,Misc,6
47,560,HoLyVieR,2015,Pwn,18
48,560,HoLyVieR,2015,Rev,8
49,560,HoLyVieR,2015,Web,8
50,560,HoLyVieR,2016,Crypt,2
51,560,HoLyVieR,2016,Forensics,11
52,560,HoLyVieR,2016,Misc,2
53,560,HoLyVieR,2016,Pwn,17
54,560,HoLyVieR,2016,Rev,4
55,560,HoLyVieR,2016,Web,6
56,560,HoLyVieR,2017,Crypt,2
57,560,HoLyVieR,2017,Forensics,2
58,560,HoLyVieR,2017,Pwn,4
59,560,HoLyVieR,2017,Rev,3
60,560,HoLyVieR,2017,Web,3
61,560,HoLyVieR,2018,Crypt,1
62,560,HoLyVieR,2018,Forensics,2
63,560,HoLyVieR,2018,Pwn,1
64,560,HoLyVieR,2018,Rev,5
65,560,HoLyVieR,2018,Web,2
66,560,HoLyVieR,2019,Crypt,1
67,560,HoLyVieR,2019,Rev,5
68,560,HoLyVieR,2019,Web,4
69,560,HoLyVieR,2020,Web,1
70,560,HoLyVieR,2022,Crypt,1
71,862,yehuju,2014,Crypt,1
72,862,yehuju,2014,Forensics,3
73,862,yehuju,2014,Rev,1
74,862,yehuju,2014,Web,5
75,862,yehuju,2015,Crypt,8
76,862,yehuju,2015,Forensics,14
77,862,yehuju,2015,Misc,15
78,862,yehuju,2015,Pwn,2
