category_id,category_title,challenge_id,challenge_title,challenge_points,challenge_solves
1,SQL Injection,1,Most basic SQLi pattern.,1,10789
1,SQL Injection,2,ACL rulezzz the world.,2,5323
1,SQL Injection,3,Login portal 1,2,4211
1,SQL Injection,171,Random Login Form,2,2581
1,SQL Injection,21,Po po po po postgresql,2,2632
1,SQL Injection,4,Login portal 2,3,1060
1,SQL Injection,189,0 Day Store,3,169
1,SQL Injection,52,Don't mess with Noemie; she hates admin!,3,1179
1,SQL Injection,40,What's the definition of NULL,3,994
1,SQL Injection,37,Quote of the day,4,796
1,SQL Injection,74,No more hacking for me!,4,467
1,SQL Injection,39,Thinking outside the box is the key,4,672
1,SQL Injection,291,Don't Stumble in the Process,4,72
1,SQL Injection,305,Brain Teaser 1,4,45
1,SQL Injection,38,Quote of the day reloaded,5,346
1,SQL Injection,19,When it's lite it's not necessarily easy,6,309
1,SQL Injection,5,Login portal 3,6,373
1,SQL Injection,158,Hot Single Mom,6,241
1,SQL Injection,306,Brain Teaser 2,7,25
1,SQL Injection,242,Internet As A Service,7,209
1,SQL Injection,78,Size DOES matter,7,152
1,SQL Injection,77,/etc/passwd,7,173
1,SQL Injection,62,Groups of hacker,7,174
1,SQL Injection,6,Login portal 4,7,251
1,SQL Injection,123,The useless search tool,8,131
1,SQL Injection,7,Login portal 5,8,84
1,SQL Injection,271,stackoverflow.com lied to me... again,9,90
1,SQL Injection,304,Doctor Who ?,9,15
1,SQL Injection,8,Login portal 6,10,69
1,SQL Injection,273,SQHell,11,17
1,SQL Injection,292,Don't Stumble in the Process Reloaded,12,12
1,SQL Injection,60,!Mysql + Brain fart,13,36
2,Reverse Engineering,11,Time to learn x86 ASM & gdb,2,2478
2,Reverse Engineering,311,See No Evil - Part 1,2,233
2,Reverse Engineering,110,Can you see through the star,2,1433
2,Reverse Engineering,346,Gift as a Service Part 2,2,60
2,Reverse Engineering,312,See No Evil - Part 2,3,170
2,Reverse Engineering,313,See No Evil - Part 3,3,157
2,Reverse Engineering,270,Intro To Sparc,3,232
2,Reverse Engineering,72,Kernel introduction,3,297
2,Reverse Engineering,176,Heap allocator,3,311
2,Reverse Engineering,9,Crack Me 1,3,842
2,Reverse Engineering,53,Introduction to MIPS,3,364
2,Reverse Engineering,36,I never forget the Nintendo 64,3,750
2,Reverse Engineering,28,Windows x86 reversing is cool,3,820
2,Reverse Engineering,266,Old School,4,99
2,Reverse Engineering,175,Power to the people,4,87
2,Reverse Engineering,161,Let's take a detour,4,108
2,Reverse Engineering,238,Altera?,4,82
2,Reverse Engineering,237,ASM Lovers,4,104
2,Reverse Engineering,111,Wrong byte!,4,300
2,Reverse Engineering,314,See No Evil - Part 4,4,119
2,Reverse Engineering,315,See No Evil - Part 5,4,111
2,Reverse Engineering,320,I love tea!,4,41
2,Reverse Engineering,335,Space Invaders,4,29
2,Reverse Engineering,54,Introduction to ARM,4,393
2,Reverse Engineering,33,Windows API for the win,4,368
2,Reverse Engineering,278,WASM Part 1,5,91
2,Reverse Engineering,276,The MI7 password prompt,5,85
2,Reverse Engineering,248,Phenix Golgoth,5,65
2,Reverse Engineering,246,Can I speak with the kernel?,5,96
2,Reverse Engineering,347,Reindeer Game,5,18
2,Reverse Engineering,64,Back to our roots,5,130
2,Reverse Engineering,190,Virtual World,5,87
2,Reverse Engineering,178,Smart enough?,5,134
2,Reverse Engineering,170,Pwndr3 Authenticator,5,70
2,Reverse Engineering,141,RingZer0 Authenticator,5,265
2,Reverse Engineering,68,Need a client,6,81
2,Reverse Engineering,108,I Think I forgot to take out the garbage!,6,30
2,Reverse Engineering,144,Flag stealer,6,87
2,Reverse Engineering,145,Update Manager,6,69
2,Reverse Engineering,179,Buggy Bunny,7,16
2,Reverse Engineering,330,Cappin',7,6
2,Reverse Engineering,264,The supreme bash,7,30
2,Reverse Engineering,177,Armed and ready,7,30
2,Reverse Engineering,101,SOS Lib,7,40
2,Reverse Engineering,210,You're not welcome,8,61
2,Reverse Engineering,279,WASM Part 2,8,14
2,Reverse Engineering,174,License to kill,8,5
2,Reverse Engineering,236,Rebate As A Service,8,48
2,Reverse Engineering,302,The Matrix,9,15
2,Reverse Engineering,157,Keygen time again,10,35
2,Reverse Engineering,61,Trolling the troll,10,34
2,Reverse Engineering,107,The unknown challenge,11,18
2,Reverse Engineering,280,WASM Part 3,12,7
2,Reverse Engineering,239,You're not welcome again!,12,22
2,Reverse Engineering,249,The oracle,13,19
2,Reverse Engineering,277,Mars Reloaded,18,13
3,Steganography,70,Victor you're hidding me something,1,3144
3,Steganography,118,You're lost? Use the map,1,2231
3,Steganography,18,Look inside the house,2,1484
3,Steganography,22,A ghost sound,2,1094
3,Steganography,71,Victor reloaded,2,1413
3,Steganography,265,The Sloth,2,204
3,Steganography,122,Brainsick,2,1058
3,Steganography,129,Missing Pieces,2,926
3,Steganography,188,Hidden In Plain Sight,2,780
3,Steganography,194,Pixel Everywhere,2,295
3,Steganography,244,The vestige of dial-up Internet,2,316
3,Steganography,231,I'm Goronyo Babad Nigerian prince,2,663
3,Steganography,208,5 beautiful colors,3,66
3,Steganography,296,Crazy Cat Lady,3,127
3,Steganography,215,Love Letter,3,289
3,Steganography,10,Can you see through the matrix!,3,165
3,Steganography,106,Your old friend Orloge Simard,3,671
3,Steganography,245,Can you see through the matrix reloaded!,4,32
3,Steganography,268,Stay Classy!,4,19
3,Steganography,293,Not just 64,4,18
3,Steganography,316,Even the Odds,4,20
3,Steganography,69,Walk the line!,5,180
3,Steganography,299,Stop the violence,5,24
3,Steganography,323,Stop the violence 2,5,10
3,Steganography,349,Hidden out of sight,5,16
4,Forensics,20,I made a dd of Agent Smith usb key,1,3922
4,Forensics,243,Who I am part 2,1,1077
